id,Name,Gender,Age,Science,English,History,Maths,Total
2,Lemmie,Male,15,29,41,17,40,127
4,Denna,Female,14,15,53,82,33,183
7,Ichabod,Female,14,38,74,54,60,226
8,Beverlie,Male,14,25,51,41,80,197
12,Valaria,Male,13,19,5,78,76,178
14,Gracie,Female,13,93,38,39,98,268
15,Missy,Female,13,98,18,84,74,274
18,Dory,Female,13,5,89,25,23,142
19,Opalina,Female,13,62,77,75,72,286
20,Ashlan,Male,13,41,6,17,3,67
22,Benoite,Male,14,3,55,14,95,167
31,Richie,Female,15,14,83,9,95,201
32,Ekaterina,Female,15,17,36,45,27,125
34,Zarla,Female,15,54,18,46,17,135
35,Tommy,Female,13,5,75,13,61,154
40,Luelle,Male,13,100,52,89,76,317
42,Hetty,Female,13,21,89,72,84,266
43,Brandie,Male,15,43,2,17,78,140
44,Arvie,Female,15,26,46,81,63,216
49,Vinny,Male,13,81,25,99,13,218
53,Ruben,Female,15,15,84,40,40,179
55,Lief,Male,15,55,64,56,69,244
56,Olenka,Female,14,53,53,49,43,198
60,Winslow,Female,14,61,71,77,64,273
64,Shannon,Male,15,78,74,31,85,268
70,Jessamine,Female,14,34,71,35,47,187
74,Bethena,Male,13,46,89,83,64,282
75,Sascha,Female,13,85,10,62,62,219
77,David,Female,13,27,2,63,100,192
78,Jody,Male,15,87,45,73,48,253
80,Elton,Male,13,13,18,80,82,193
102,Alvin,Female,13,80,28,53,67,228
105,Jeannie,Male,13,68,97,31,48,244
108,Virgie,Female,14,56,75,5,40,176
110,Cherry,Female,14,82,54,31,18,185
118,Bent,Female,14,90,22,2,12,126
124,Orin,Female,15,70,75,21,99,265
125,Fredric,Male,14,68,20,21,81,190
127,Bennie,Male,14,76,36,32,47,191
129,Susy,Female,15,28,94,61,72,255
131,Blisse,Female,15,85,30,50,2,167
135,Humfrid,Female,13,96,100,42,62,300
139,Bevan,Male,13,52,62,44,10,168
140,Ricky,Female,13,21,65,90,4,180
142,Emmanuel,Female,14,77,79,92,36,284
143,Cristian,Male,13,5,3,97,84,189
146,Brien,Female,15,43,4,40,98,185
148,Danni,Female,13,92,67,13,25,197
150,Inger,Female,13,53,95,75,81,304
156,Sarah,Female,13,55,99,8,72,234
160,Patty,Male,14,61,89,70,68,288
163,Page,Male,15,44,47,43,55,189
168,Dory,Female,13,23,5,39,42,109
170,Ermina,Female,15,38,17,76,26,157
171,Fran,Female,15,34,74,83,81,272
175,Shalom,Female,14,63,9,91,93,256
177,Guntar,Male,13,92,36,59,48,235
179,Val,Male,13,95,73,91,61,320
185,Purcell,Male,14,75,14,54,68,211
188,Ruperto,Female,14,60,55,30,83,228
192,Jayme,Male,13,39,14,77,53,183
194,Olivia,Female,13,48,4,79,76,207
198,Carol,Female,14,98,13,35,4,150
201,Ruddie,Female,15,84,97,88,64,333
203,Norri,Male,14,45,21,61,13,140
204,Nealon,Male,14,84,10,71,8,173
218,Zack,Male,13,72,46,40,95,253
220,Tammy,Male,13,81,63,16,62,222
223,Leda,Female,15,92,76,72,71,311
226,Blake,Female,15,16,4,49,1,70
228,Maureene,Female,14,78,63,62,38,241
231,Stillman,Male,15,50,70,31,98,249
233,Alysa,Male,14,65,32,67,35,199
236,Nadia,Female,15,98,30,37,56,221
243,Morrie,Female,13,17,24,41,21,103
247,Rog,Female,13,1,4,68,65,138
248,Kaia,Male,15,93,48,82,44,267
249,Anni,Female,14,35,73,66,59,233
250,Fernande,Male,15,50,8,80,78,216
