id,Name,Gender,Age,Science,English,History,Maths,Total
1,Bronnie,Female,13,21,81,62,49,213
3,Danya,Female,14,12,87,16,96,211
6,Malissa,Female,14,98,51,85,76,310
10,Tate,Male,15,35,25,37,27,124
11,Dunn,Male,15,100,93,87,81,361
23,Merle,Female,13,5,83,19,39,146
24,Valma,Female,14,48,83,79,95,305
29,Adrian,Male,13,19,8,76,75,178
30,Livia,Male,13,95,65,25,96,281
33,Tamra,Female,14,17,74,11,49,151
36,Anna-diane,Female,15,93,53,10,29,185
38,Claudina,Male,14,90,62,45,21,218
41,Johannes,Female,15,10,78,56,41,185
45,Jacenta,Male,15,65,7,57,27,156
48,Lyda,Female,15,78,58,1,33,170
51,Skipp,Male,14,31,37,77,79,224
54,Tabbie,Male,15,23,44,76,46,189
59,Yardley,Female,14,41,37,26,65,169
61,Bobbee,Female,14,16,57,90,14,177
62,Fanny,Female,13,49,90,13,98,250
65,Mufi,Female,14,88,72,31,27,218
66,Christan,Female,14,85,6,10,85,186
67,Orrin,Female,15,45,41,26,12,124
68,Drusi,Male,15,39,7,100,70,216
71,Bil,Female,15,95,32,91,48,266
72,Jaymie,Male,14,48,59,60,58,225
76,Cherie,Male,15,32,31,89,30,182
79,Rosalynd,Male,13,27,96,89,49,261
82,Dannel,Male,15,84,85,14,24,207
84,Eugine,Male,13,34,18,39,99,190
85,Brien,Female,13,36,95,55,46,232
86,Agace,Male,15,17,75,8,71,171
88,Sheffie,Female,15,44,55,51,100,250
90,Cobby,Male,15,64,20,86,84,254
91,Linn,Male,13,23,2,42,43,110
99,Brendin,Male,14,72,51,50,11,184
103,Christoph,Female,13,2,19,48,52,121
106,Jocelyne,Female,14,62,4,75,32,173
107,Rina,Female,14,57,68,13,74,212
109,Vaughn,Male,14,11,30,83,17,141
113,Josefa,Male,13,22,78,77,26,203
115,Chris,Female,13,23,13,28,69,133
119,Aretha,Female,13,2,60,67,29,158
122,Gloria,Male,14,4,37,50,47,138
128,Starlin,Female,14,3,31,34,45,113
132,Tymothy,Male,13,13,73,76,95,257
134,Jehanna,Female,15,77,25,85,26,213
136,Hector,Female,13,5,10,75,38,128
137,Ailene,Female,15,52,39,37,3,131
138,Berget,Male,13,10,29,21,13,73
141,Isidora,Male,15,52,30,14,24,120
144,Guido,Female,13,63,12,69,41,185
147,Jaquenette,Male,15,33,75,98,84,290
149,Adrianne,Female,15,51,67,67,96,281
155,Emlyn,Male,14,32,3,69,96,200
157,Paten,Male,15,67,88,41,8,204
158,Aldin,Female,13,72,24,83,62,241
161,Barde,Female,15,58,25,23,39,145
165,Fidelia,Female,15,35,39,61,9,144
166,Hali,Male,13,67,21,60,40,188
167,Keeley,Male,15,84,8,71,48,211
169,Ilaire,Male,14,95,56,4,100,255
173,Rosamond,Male,15,55,62,57,56,230
176,Ivan,Male,14,95,21,51,33,200
180,Amber,Female,15,32,5,53,49,139
181,Davidde,Male,13,98,100,23,84,305
184,Billie,Female,13,53,37,83,64,237
189,Oberon,Female,15,87,21,41,24,173
191,Estel,Male,14,38,66,53,32,189
195,Darya,Male,15,13,35,71,30,149
199,Codi,Male,14,30,62,32,60,184
202,Baudoin,Male,14,89,59,33,96,277
205,Willem,Female,13,7,47,39,16,109
206,Rosalyn,Male,15,54,89,59,93,295
207,Fannie,Male,14,49,48,81,44,222
209,Zenia,Female,14,59,94,94,47,294
213,Evangelin,Male,15,63,92,38,60,253
215,Betteann,Male,13,68,79,71,41,259
219,Buffy,Male,14,58,60,7,95,220
225,Romonda,Female,13,84,10,82,98,274
227,Josepha,Female,14,22,26,1,28,77
229,Ginnifer,Female,14,4,15,6,32,57
230,Kent,Male,15,15,26,83,75,199
234,Mortimer,Male,15,91,33,71,81,276
235,Fleming,Male,13,31,9,79,54,173
237,Britt,Male,15,92,87,38,53,270
240,Raimund,Male,15,2,4,48,46,100
241,Claudell,Male,14,76,15,70,35,196
242,Janey,Male,15,3,49,67,96,215
244,Domingo,Male,13,95,63,65,71,294
245,Jesselyn,Female,15,11,53,15,13,92
246,Nickie,Male,13,28,15,25,10,78
